S.NO,ZONE ,DISTRICT,CLUSTER,SCHOOL NAME ,BOARD,STUDENT STRENGTH,PRIORITY,CORRESPONDENT/ PRINCIPAL,MOBILE NUMBERS,AREA,Procurement Month ,Lead Status,Last Visit,Next Follow-Up,Assigned Canvasser,Expected Order Value,Remarks
,,,Keelapavoor Block,Siva Sakthi Vidyalaya CBSE School,CBSE,,,,,"Avudiyanoor, Sivasailanoor Rd",,,,,,,
,,,Keelapavoor Block,Annai Velankanni Matric Higher Sec School,Matriculation,,,,,"Avudayanoor Road, Kallurani",,,,,,,
,,,Kadayam Block,Sri Paramakalyani Nursery & Primary School,Matric/State,,,,,Kadayam Town Junction,,,,,,,
,,,Keelapavoor Block,Pioneer International CBSE School,CBSE,,,,,"Thenpothai, Kanakkapillaivalasai",,,,,,,
,,,Kadayam Block,Sarguna Sathiya Vidhyalaya Higher Secondary School,Matriculation,,,,,"Main Road, Koviloothu",,,,,,,
,,,Sankarankovil Block,Sri Vaiyapuri Vidhyalaya Matriculation School,Matriculation,,,,,"Rajapalayam Road, Thiruvudaiyan Salai",,,,,,,
,,,,Avk International Residential School,CBSE,,,,,"Rajapalayam Main Road, Sankarankoil Tirunelveli Road",,,,,,,
,,,,Sri Mahalakshmi Matric Higher Secondary School,Matriculation,,,,,Sankarankoil Tirunelveli Road,,,,,,,
,,,,Imam Gazzali (Rah) Oriental Matriculation School,Matriculation,,,,,Sankarankoil Tirunelveli Road,,,,,,,
,,,,The Prakash Matriculation School,Matriculation,,,,,"No 1/161, Main Road, Panavadalichatram",,,,,,,
,,,,Sri Gomathi Ambal Matric Higher Secondary School,Matriculation,,,,,Sankarankovil Town Sector,,,,,,,
,,,,St. Joseph Public School,CBSE,,,,,"Serndamaram, Sankarankovil Taluk",,,,,,,
,,,,Seventh Day Adventist Matriculation Higher Secondary School,Matriculation,,,,,Sankarankovil Town Region,,,,,,,
,,,Kuruvikulam Block,Sri Mahalakshmi Matric Higher Secondary School (Branch),Matriculation,,,,,Kuruvikulam Main Road,,,,,,,
,,,,The Prakash Matriculation School,Matriculation,,,,,Sankarankoil Road Sector,,,,,,,
,,,,K.M. Higher Secondary School,Matric/State,,,,,Thiruvenkatam Boundary,,,,,,,
,,,,Raja's Nursery and Primary School,Matric/State,,,,,Kuruvikulam Town Junction,,,,,,,
,,,,St. Joseph's Matriculation School,Matriculation,,,,,Kalingapatty Perimeter,,,,,,,
,,,,Sri Krishna Academy Nursery & Primary School,Matric/State,,,,,Ilayarasanendal Region,,,,,,,
,,,Vasudevanallur Block,Senaithalaivar Matriculation Higher Secondary School,Matriculation,,,,,"Chinthamani Road, Puliyangudi",,,,,,,
,,,,Avk International Residential School (Sivagiri Track),CBSE,,,,,Sivagiri Road Perimeter,,,,,,,
,,,,National Central School,CBSE,,,,,Vasudevanallur Town Sector,,,,,,,
,,,,Sri Parasakthi Matric Higher Secondary School,Matriculation,,,,,Puliyangudi Sector Boundary,,,,,,,
,,,,Raja Nursery and Primary School,Matric/State,,,,,Vasudevanallur Town Junction,,,,,,,
,,,,Kannadasan Matriculation School,Matriculation,,,,,Rayagiri Region Perimeter,,,,,,,
,,,Shenkottai Block,Ilanji Velavan Matriculation Higher Secondary School,Matriculation,,,,,"Shencottah Main Road, Ilanji",,,,,,,
,,,,Sri Ramakrishna Vidyalaya Matric Higher Sec School (Branch Track),Matriculation,,,,,Shenkottai Town Sector,,,,,,,
,,,,Sardar Raja Mission School (Shengottah Track),CBSE,,,,,Shenkottai Perimeter Boundary,,,,,,,
,,,,Rose Mary Matriculation School (Extension Track),Matriculation,,,,,"Panpoli Road, Shenkottai",,,,,,,
,,,,St. Joseph's Nursery & Primary School,Matric/State,,,,,"Main Bazar Sector, Shenkottai Town",,,,,,,
,,,,Vedha Vikas School Of Excellence,CBSE-Primary,,,,,Shenkottai Boundary Sector,,,,,,,
,,,Melaneelithanallur Block,Sri Vaiyapuri Vidhyalaya Matriculation School (Branch Track),Matriculation,,,,,Sankarankoil Main Road,,,,,,,
,,,,The Prakash Matriculation School,Matriculation,,,,,Melaneelithanallur Sector,,,,,,,
,,,,Avk International Residential School (Extension Track),CBSE,,,,,Melaneelithanallur Boundary,,,,,,,
,,,,Raja's Nursery and Primary School,Matric/State,,,,,Melaneelithanallur Town Junction,,,,,,,
,,,,Sri Krishna Academy Nursery & Primary School,Matric/State,,,,,Local Village Region,,,,,,,
,,Thoothukudi,Alwarthirunagari,Sri Alwar Vidhyalaya CBSE School,CBSE,,,,,Alwarthirunagari Main,,,,,,,
,,,,Margoschis Matriculation School,Matriculation,,,,,Nazareth,,,,,,,
,,,,James Memorial Matric Higher Sec School,Matriculation,,,,,Prakasapuram,,,,,,,
,,,,Malaviya Nursery and Primary School,Matriculation,,,,,Vadambogi Street,,,,,,,
,,,,Godneethan Nursery & Primary School,Matriculation,,,,,South Authoor,,,,,,,
,,,,Nightingale Nursery & Primary School,Matriculation,,,,,Nazareth Town,,,,,,,
,,,,Proposed Sucila Maharajan School,Private / CBSE Link,,,,,Alwarthirunagari Rural,,,,,,,
,,,,Senthil Murugan Matric Higher Sec School,Matriculation,,,,,Alwarthirunagari Road,,,,,,,
,,,,St. James Matriculation School,Matriculation,,,,,Srivaikuntam Border,,,,,,,
,,,,Sri Ramakrishna Vidhalaya Matric School,Matriculation,,,,,Srivaikuntam Highway,,,,,,,
,,,,Kamarajar Matriculation School,Matriculation,,,,,Thenthirupathi Link Road,,,,,,,
,,,,Holy Angels Nursery and Primary School,Matriculation,,,,,Bazaar Street,,,,,,,
,,,Karungulam,Meera Matriculation School,Matriculation,,,,,Manakarai,,,,,,,
,,,,T.V.Rama Subiar Hindu Vidhyalaya Matric Hr Sec School,Matriculation,,,,,Srivaikuntam Border,,,,,,,
,,,,Jos Nursery & Primary School,Matriculation,,,,,Seydunganallur,,,,,,,
,,,,IIPE Laxmiraman Matriculation Higher Secondary School,Matriculation,,,,,Karungulam Rural,,,,,,,
,,,,Sri Jayendra Swamigal Vidhya Kendra CBSE School,CBSE,,,,,Karungulam Main Road,,,,,,,
,,,,Nizams School,Matriculation,,,,,Karungulam Interior,,,,,,,
,,,,St. Lucia Primary & Nursery School (Unaided Wing),Matriculation,,,,,Seydunganallur,,,,,,,
,,,Kayathar,Veeramunivar Matriculation Higher Secondary School,Matriculation,,,,,Kayathar Town,,,,,,,
,,,,Sri Ramakrishna Vidyalaya Matric School,Matriculation,,,,,Kovilpatti-Kayathar Road,,,,,,,
,,,,Rajarathnam Nursery & Primary School,Matriculation,,,,,Bazaar Street,,,,,,,
,,,,Annai Velankanni Matriculation School,Matriculation,,,,,Kayathar West,,,,,,,
,,,,Immanuel Matriculation School,Matriculation,,,,,Kalugumalai Road Link,,,,,,,
,,,,St. Marys Nursery & Primary School,Matriculation,,,,,Kayathar Interior,,,,,,,
,,,,Proposed NewGen Smart CBSE Campus,CBSE Link,,,,,Kayathar Junction,,,,,,,
,,,Kovilpatti,Lakhsmi Mills Matriculation Higher Secondary School,Matriculation,,,,,Lakshmipuram,,,,,,,
,,,,Ravilla K.R.A. Vidyashram CBSE School,CBSE,,,,,K.R. Nagar,,,,,,,
,,,,A.V.M. Kamalavati Matriculation Higher Secondary School,Matriculation,,,,,Inam Maniyachi,,,,,,,
,,,,K.R. Vidyalaya CBSE School,CBSE,,,,,K.R. Nagar,,,,,,,
,,,,National Engineering College Campus CBSE School,CBSE,,,,,"K.R. Nagar, Nalattinputhur",,,,,,,
,,,,St. John's Matriculation Higher Secondary School,Matriculation,,,,,Kovilpatti Town,,,,,,,
,,,,Crescent Matriculation Higher Secondary School,Matriculation,,,,,Sattur Road,,,,,,,
,,,,Sri Ramana Maharishi Matriculation School,Matriculation,,,,,New Road,,,,,,,
,,,,Holy Cross Nursery & Primary School,Matriculation,,,,,Kovilpatti Main,,,,,,,
,,,,Bharathi Vidyalaya Nursery & Primary School,Matriculation,,,,,Kovilpatti East,,,,,,,
,,,,V.O.C. Matriculation Higher Secondary School,Matriculation,,,,,Ottapidaram Town,,,,,,,
,,,,Sri Lalitha Tripura Sundari Matriculation School,Matriculation,,,,,Kollamparambu,,,,,,,
,,,,Good Shepherd Nursery & Primary School,Matriculation,,,,,Bazaar Street,,,,,,,
,,,,St. Joseph Nursery & Primary School,Matriculation,,,,,Ottapidaram Local,,,,,,,
,,,,Veerapandiya Kattabomman Matric School,Matriculation,,,,,Panchalankurichi Link,,,,,,,
,,,Pudur,C.K.T Matriculation Higher Secondary School,Matriculation,,,,,Ettaiyapuram-Pudur Road,,,,,,,
,,,,Shree Vivekanantha Vidyalaya Matric School,Matriculation,,,,,Pudur Block Main,,,,,,,
,,,,Sri Ambal Vidhyalaya CBSE School,CBSE,,,,,Pudur Zone Link,,,,,,,
,,,,Galaxy Nursery & Primary School,Matriculation,,,,,Pudur Local,,,,,,,
,,,,St. Charles Matriculation Higher Secondary School,Matriculation,,,,,Pudur-Vilathikulam Border,,,,,,,
,,,,Nursery and Primary Feeder School,Matriculation,,,,,Pudur Town Boundary,,,,,,,
,,,Sathankulam,Mary Immaculate Matriculation Higher Secondary School,Matriculation,,,,,Kanniyakumari-Tiruchendur Road,,,,,,,
,,,,Ave Maria Matric Higher Secondary School,Matriculation,,,,,Pannamparai Junction,,,,,,,
,,,,Jay International School,CBSE,,,,,Megnanapuram Road,,,,,,,
,,,,Henriy Matriculation Higher Secondary School,Matriculation,,,,,Kalunguvilai Road,,,,,,,
,,,,S.D.A Nursery and Primary School,Matriculation,,,,,Sathankulam Main,,,,,,,
,,,,Anitha Kumaran Matric Higher Secondary School,Matriculation,,,,,Thandupathu Link Border,,,,,,,
,,,,Ranjiaaron Memorial Matriculation School,Matriculation,,,,,Sathankulam Town,,,,,,,
,,,Srivaikuntam,T.V.Rama Subiar Hindu Vidhyalaya Matric Hr Sec School,Matriculation,,,,,Srivaikuntam Main,,,,,,,
,,,,Amali Matriculation Higher Secondary School,Matriculation,,,,,Srivaikuntam Town,,,,,,,
,,,,St. Marys Nursery & Primary School,Matriculation,,,,,Bazaar Street,,,,,,,
,,,,Immanuel Matriculation School,Matriculation,,,,,Srivaikuntam Interior,,,,,,,
,,,,Sri Ramakrishna Vidhalaya Matric School,Matriculation,,,,,Srivaikuntam-Alwar Highway,,,,,,,
,,,,Little Flower Nursery and Primary School,Matriculation,,,,,Srivaikuntam Town Boundary,,,,,,,
,,,Thoothukudi Rural,BMC Matriculation Higher Secondary School,Matriculation,,,,,Muthiahpuram,,,,,,,
,,,,Bona Secours Matriculation School,Matriculation,,,,,Korampallam,,,,,,,
,,,,Dr. Sivanthi Aditanar Matriculation Higher Secondary School,Matriculation,,,,,Milavittan,,,,,,,
,,,,Sakthi Vinayagar Hindu Vidyalaya,CBSE,,,,,Maravanmadam,,,,,,,
,,,,St. Joseph's Nursery & Primary School,Matriculation,,,,,Mappilaiurani,,,,,,,
,,,,Holy Cross Public School,CBSE Link,,,,,Thoothukudi Rural Link,,,,,,,
,,,Tiruchendur,Senthil Murugan Matric Higher Sec School,Matriculation,,,,,Tiruchendur Town,,,,,,,
,,,,Anitha Kumaran Matric Higher Secondary School,Matriculation,,,,,Paramankurichi Road,,,,,,,
,,,,Pearl Public School,CBSE,,,,,Keela Tiruchendur,,,,,,,
,,,,Subbiah Vidyalayam Matric Higher Sec School,Matriculation,,,,,Sannidhi Street,,,,,,,
,,,,Kamarajar Matriculation Higher Secondary School,Matriculation,,,,,Thenthirupathi Link,,,,,,,
,,,,Good Shepherd Nursery & Primary School,Matriculation,,,,,Tiruchendur Local,,,,,,,
,,,,St. Mary's Matriculation School,Matriculation,,,,,Veerapandianpatnam Link,,,,,,,
,,,Thoothukudi Urban,Vikasa School,ICSE / ISC,,,,,Millerpuram,,,,,,,
,,,,Subbiah Vidyalayam Lalitha Nagar CBSE School,CBSE,,,,,Lalitha Nagar,,,,,,,
,,,,St. Thomas Matriculation Higher Secondary School,Matriculation,,,,,George Road,,,,,,,
,,,,Kamlavati Higher Secondary School,Matriculation,,,,,Muthiahpuram,,,,,,,
,,,,Holy Cross Anglo-Indian Higher Secondary School (Unaided Block),Anglo-Indian / State,,,,,W.G.C. Road,,,,,,,
,,,,BMC Matriculation Higher Secondary School,Matriculation,,,,,Tiruchendur Road,,,,,,,
,,,,Star Excel Public School,CBSE,,,,,Polpettai,,,,,,,
,,,,Our Lady of Snows Matriculation School,Matriculation,,,,,Cruz Puram,,,,,,,
,,,Vilathikulam,St. Charles Matriculation Higher Secondary School,Matriculation,,,,,Kovilpatti Road,,,,,,,
,,,,Ambal Vidhyalaya CBSE School,CBSE,,,,,Pudur-Vilathikulam Link,,,,,,,
,,,,Good Shepherd Nursery & Primary School,Matriculation,,,,,Bazaar Street,,,,,,,
,,,,Dr. S. Radhakrishnan Matriculation School,Matriculation,,,,,Madurai Road Link,,,,,,,
,,,,Sacred Heart Nursery and Primary School,Matriculation,,,,,Vilathikulam Town,,,,,,,
,,,Udangudi,Sri Ramakrishna Vidyalaya Matric Higher Secondary School,Matriculation,,,,,Udangudi Town,,,,,,,
,,,,St. Mary's Matriculation Higher Secondary School,Matriculation,,,,,Paramankurichi Road,,,,,,,
,,,,Holy Angels Nursery & Primary School,Matriculation,,,,,Bazaar Street,,,,,,,
,,,,Arun Matriculation School,Matriculation,,,,,Kulasekarapatnam Road,,,,,,,
,,,,Kings Nursery and Primary School,Matriculation,,,,,Udangudi Local,,,,,,,
,,,,Grace Matriculation School,Matriculation,,,,,Christianagaram Link,,,,,,,
,,Kanyakumari,Agasteeswaram,Amrita Vidyalayam,CBSE,,,,,Nagercoil,,,,,,,
,,,,Excel Central School,CBSE,,,,,Pallavilai,,,,,,,
,,,,Shri Ramakrishna Vidyalaya Matric Higher Sec School,Matriculation,,,,,Kottar,,,,,,,
,,,,St. Joseph's Matriculation Higher Secondary School,Matriculation,,,,,Asaripallam Road,,,,,,,
,,,,Vikas National School,CBSE,,,,,Konam,,,,,,,
,,,,Adarsh Vidya Kendra (AVK),CBSE,,,,,Vettoornimadam,,,,,,,
,,,,Pioneer Kumaraswamy Vidyalaya,Matriculation,,,,,Vetturnimadam,,,,,,,
,,,,Holy Family Nursery & Primary School,Matriculation,,,,,Agasteeswaram Town,,,,,,,
,,,,St. Mary's Matriculation School,Matriculation,,,,,Puthalam,,,,,,,
,,,Thovalai,LHL CBSE School,CBSE,,,,,Visuvasapuram,,,,,,,
,,,,Ramalekshmi Vidyalaya Matric School,Matriculation,,,,,Thovalai Flower Market,,,,,,,
,,,,Annai Chellammal CBSE School,CBSE,,,,,Thiruppathisaram,,,,,,,
,,,,Comorin International School,ICSE / ISC,,,,,Aralvaimozhi,,,,,,,
,,,,Pearl Matric Higher Secondary School,Matriculation,,,,,Theroor Road,,,,,,,
,,,,Isha Vidhya Matriculation Hr. Sec. School,Matriculation,,,,,"Kurandi, Theroor",,,,,,,
,,,,Srinivasa Matriculation School,Matriculation,,,,,Boothapandi,,,,,,,
,,,,Muhammadiya Nursery & Primary School,Matriculation,,,,,Thittuvilai,,,,,,,
,,,Rajakkamangalam,ISED Matriculation Higher Secondary School,Matriculation,,,,,Parakkai,,,,,,,
,,,,Belfield Matriculation Higher Secondary School,Matriculation,,,,,Asaripallam Link Road,,,,,,,
,,,,E.D. Willmott Memorial Seventh Day Adventist School,Matriculation,,,,,Rajakkamangalam Main,,,,,,,
,,,,Sri Ramji Matriculation Higher Secondary School,Matriculation,,,,,Rajakkamangalam Interior,,,,,,,
,,,,Alpha Matriculation Higher Secondary School,Matriculation,,,,,Rajakkamangalam Junction,,,,,,,
,,,,Little Kingdom Montessori School,Matriculation Link,,,,,Eathamozhi Road,,,,,,,
,,,,Jayanthi Ramesh Nursery & Primary School,Matriculation,,,,,Ganapathipuram,,,,,,,
,,,Thuckalay,Amrita Vidyalayam,CBSE,,,,,Kozhiporvilai,,,,,,,
,,,,Excel Central School,CBSE,,,,,Thuckalay Road,,,,,,,
,,,,Sacred Heart Matriculation Higher Secondary School,Matriculation,,,,,Padmanabhapuram Link,,,,,,,
,,,,St. John's Matriculation Higher Secondary School,Matriculation,,,,,Thuckalay Town,,,,,,,
,,,,N.V.K.S. Matriculation Higher Secondary School,Matriculation,,,,,Attoor Road,,,,,,,
,,,,Dr. Jeyasekharan Medical Trust School (Foundations),Private / Kindergarten Link,,,,,Thuckalay Interior,,,,,,,
,,,,St. Mary's Nursery & Primary School,Matriculation,,,,,Mulagumoodu,,,,,,,
,,,Killiyoor,St. Jude's College School Wing (Unaided),Matriculation,,,,,Thoothoor,,,,,,,
,,,,Christs Central School,CBSE,,,,,"Kaliyakkavilai Road, Killiyoor",,,,,,,
,,,,Holy Angels Matriculation Higher Secondary School,Matriculation,,,,,Kallukoottam,,,,,,,
,,,,St. Mary's Matriculation School,Matriculation,,,,,Marthandam Link Road,,,,,,,
,,,,Good Shepherd Nursery & Primary School,Matriculation,,,,,Killiyoor Town Main,,,,,,,
,,,,Al-Ameen Nursery & Primary School,Matriculation,,,,,Palapallam,,,,,,,
,,,,Pioneer Memorial Matriculation School,Matriculation,,,,,Kizhkulam,,,,,,,
,,,Kurunthancode,St. Aloysius Matriculation Higher Secondary School,Matriculation,,,,,Vaniyakudy,,,,,,,
,,,,Vins Christian Matriculation Higher Secondary School,Matriculation,,,,,Chunkankadai Link Road,,,,,,,
,,,,St. Antony's Matriculation School,Matriculation,,,,,Kurunthancode Town Main,,,,,,,
,,,,Mother Theresa Matriculation School,Matriculation,,,,,"Muttam Road, Thingalnagar",,,,,,,
,,,,Little Flower Nursery & Primary School,Matriculation,,,,,Neyyoor Link,,,,,,,
,,,,Good Shepherd Nursery and Primary School,Matriculation,,,,,Kurunthancode Interior,,,,,,,
3,Central Tamilnadu,Tiruchirappalli,Andhanallur,Sri Akilandeswari Vidyalaya,CBSE,,,,,Andhanallur Zone Main,,,,,,,
,,,,Chinmaya Vidyalaya Matric Hr Sec School,Matriculation,,,,,Srirangam Border Link,,,,,,,
,,,,Mathura Vidhyalaya Matric Higher Secondary School,Matriculation,,,,,"Kulumani Road, Periyakaruppur",,,,,,,
,,,,K N R Vidhyalaya,CBSE,,,,,Andhanallur Extension,,,,,,,
,,,,Brindavan Vidyalaya,CBSE Link,,,,,Thiruvanaikoil Stretches,,,,,,,
,,,,The Kalaivaani Matriculation School,Matriculation,,,,,Dr. Rajan School Road,,,,,,,
,,,,Donn Nursery and Primary School,Matriculation,,,,,Kulumani Main Area,,,,,,,
,,,,Dr. G. Chittrambalam Matriculation School,Matriculation,,,,,Jeeyapuram Link,,,,,,,
,,,Lalgudi,Sai Vidhyalaya Senior Secondary School,CBSE,,,,,Thirumangalam Road,,,,,,,
,,,,Nest Matriculation Higher Secondary School,Matriculation,,,,,Akilandeshwari Nagar,,,,,,,
,,,,Lalgudi Lions Matriculation School,Matriculation,,,,,"Swargaraj Nagar, Main Road",,,,,,,
,,,,Sri Vetri Vidhyalaya Public School,CBSE,,,,,E.Vellanur,,,,,,,
,,,,Christ The King CBSE Public School,CBSE,,,,,"Assisipuram, Nedungur",,,,,,,
,,,,Sri Vivekananda Matriculation School,Matriculation,,,,,"NH 81, Umar Nagar",,,,,,,
,,,,St.John's Nursery & Primary School,Matriculation,,,,,L. Abishekapuram,,,,,,,
,,,,Peni-El Nursery & Primary School,Matriculation,,,,,Lalgudi Town,,,,,,,
,,,Manachanallur,Vageesha Vidhyalaya Senior Secondary School,CBSE,,,,,Inam Samayapuram,,,,,,,
,,,,Alpha Wisdom Vidyashram CBSE School,CBSE,,,,,Samayapuram Kariyamanickam Road,,,,,,,
,,,,Maheshwari Matriculation Higher Secondary School,Matriculation,,,,,Bicchandarkoil Link,,,,,,,
,,,,Vignesh Sri Sri Matriculation School,Matriculation,,,,,No.1 Tollgate,,,,,,,
,,,,Santhanam Vidhyalaya CBSE School,CBSE Link,,,,,Samayapuram Link Highway,,,,,,,
,,,,Sree Kumaran Matriculation School,Matriculation,,,,,Thuraiyur Main Road,,,,,,,
,,,,National Nursery & Primary School,Matriculation,,,,,Poonampalayam,,,,,,,
,,,,Suriya Nursery and Primary School,Matriculation,,,,,Manachanallur Town,,,,,,,
,,,Manapparai,St. John's Matriculation Higher Secondary School,Matriculation,,,,,Trichy Road,,,,,,,
,,,,Vidhya Seva Matric Higher Secondary School,Matriculation,,,,,Kovilpatti Road,,,,,,,
,,,,Child Jesus Matriculation School,Matriculation,,,,,Manapparai Town Main,,,,,,,
,,,,Sri Vigneshwara Matriculation School,Matriculation,,,,,Dindigul Road Link,,,,,,,
,,,,Golden Gates Public School,CBSE Link,,,,,Manapparai Extension,,,,,,,
,,,,Infant Jesus Nursery & Primary School,Matriculation,,,,,Sevvandhipatti Link,,,,,,,
,,,,Saraswathi Nursery and Primary School,Matriculation,,,,,Manapparai Town,,,,,,,
,,,Manikandam,Alpha Wisdom Vidyashram CBSE School,CBSE,,,,,K K Nagar (Manikandam Link),,,,,,,
,,,,Montfort School,CBSE,,,,,Kattur (Manikandam Zone),,,,,,,
,,,,Care International School,CBSE,,,,,Trichy-Madurai Bypass Road,,,,,,,
,,,,Santhanam Vidhyalaya Senior Secondary School,CBSE,,,,,Kallikudi,,,,,,,
,,,,St. Joseph's Matriculation Higher Secondary School,Matriculation,,,,,Manikandam Main Road,,,,,,,
,,,,National College Higher Secondary School (Private Wing),Matriculation,,,,,Nagammai Nagar Link,,,,,,,
,,,,Good Shepherd Nursery & Primary School,Matriculation,,,,,Manikandam Town Main,,,,,,,
,,,,Sri Vignesh Nursery and Primary School,Matriculation,,,,,Manikandam Interior,,,,,,,
,,,Marungapuri,St. Charles Matriculation Higher Secondary School,Matriculation,,,,,Thuvarankurichi Main,,,,,,,
,,,,Shri Ambal Vidhyalaya Public School,CBSE Link,,,,,Madurai-Trichy Highway Link,,,,,,,
,,,,Immanuel Matriculation School,Matriculation,,,,,Thuvarankurichi Local,,,,,,,
,,,,Good Shepherd Nursery & Primary School,Matriculation,,,,,Bazaar Street,,,,,,,
,,,,Vivekananda Nursery and Primary School,Matriculation,,,,,Marungapuri Town Main,,,,,,,
,,,,St. Mary's Primary Feeder School,Matriculation,,,,,Marungapuri Interior,,,,,,,
,,,Musiri,Santhanam Vidhyalaya Senior Secondary School,CBSE,,,,,Thuraiyur Main Road,,,,,,,
,,,,Vignesh Sri Sri Matriculation Higher Secondary School,Matriculation,,,,,"Trichy Road, Musiri",,,,,,,
,,,,Maheshwari Matriculation School,Matriculation,,,,,Musiri Town Main,,,,,,,
,,,,Sri Vetri Vidhyalaya Public School,CBSE Link,,,,,Peramangalam Link,,,,,,,
,,,,Good Shepherd Nursery & Primary School,Matriculation,,,,,Bazaar Street,,,,,,,
,,,,St. Joseph's Primary School,Matriculation,,,,,Musiri Local,,,,,,,
,,,,Saraswathi Nursery and Primary School,Matriculation,,,,,Musiri Interior,,,,,,,
,,,Pullambadi,Sai Vidhyalaya Senior Secondary School,CBSE,,,,,Lalgudi-Pullambadi Link Road,,,,,,,
,,,,St. Joseph's Matriculation School,Matriculation,,,,,Pullambadi Town Main,,,,,,,
,,,,Christ The King Public School,CBSE Link,,,,,Nedungur Stretches,,,,,,,
,,,,Good Shepherd Nursery & Primary School,Matriculation,,,,,Bazaar Street,,,,,,,
,,,,Sri Vivekananda Nursery and Primary School,Matriculation,,,,,Pullambadi Local,,,,,,,
,,,,St. Mary's Primary Feeder School,Matriculation,,,,,Pullambadi Interior,,,,,,,
,,,Thathaiyengarpet,Santhanam Vidhyalaya Matric School,Matriculation,,,,,Musiri Road Links,,,,,,,
,,,,Vignesh Sri Sri Public School,CBSE Link,,,,,Thathaiyengarpet Town Main,,,,,,,
,,,,Good Shepherd Nursery & Primary School,Matriculation,,,,,Bazaar Street,,,,,,,
,,,,Sri Vivekananda Nursery and Primary School,Matriculation,,,,,T. Pet Local Stretches,,,,,,,
,,,,St. Joseph's Primary Feeder School,Matriculation,,,,,Thathaiyengarpet Interior,,,,,,,
,,,Thiruverumbur,BHEL Matriculation Higher Secondary School,Matriculation,,,,,Kailasapuram (BHEL Township),,,,,,,
,,,,RSK Higher Secondary School (Private Wing),CBSE,,,,,Thiruverumbur Town Link,,,,,,,
,,,,Montfort School,CBSE,,,,,Kattur Main Road,,,,,,,
,,,,Alpha Wisdom Vidyashram CBSE School,CBSE,,,,,KK Nagar Extension,,,,,,,
,,,,Boiler Plant Boys Higher Secondary School (Unaided Block),Matriculation,,,,,Kailasapuram,,,,,,,
,,,,Sri Srinivasa Matriculation School,Matriculation,,,,,Thiruverumbur Local,,,,,,,
,,,,Good Shepherd Nursery & Primary School,Matriculation,,,,,Bazaar Street,,,,,,,
,,,,St. Mary's Primary School,Matriculation,,,,,Kattur,,,,,,,
,,,Thottiyam,Vignesh Sri Sri Matriculation School,Matriculation,,,,,Musiri-Thottiyam Link,,,,,,,
,,,,Santhanam Vidhyalaya Public School,CBSE Link,,,,,Thottiyam Town Main,,,,,,,
,,,,Good Shepherd Nursery & Primary School,Matriculation,,,,,Bazaar Street,,,,,,,
,,,,Sri Vivekananda Nursery and Primary School,Matriculation,,,,,Thottiyam Local Stretches,,,,,,,
,,,,St. Joseph's Primary Feeder School,Matriculation,,,,,Thottiyam Interior,,,,,,,
,,,Thuraiyur,Sowdambikaa Matriculation Higher Secondary School,Matriculation,,,,,Trichy Road,,,,,,,
,,,,Sri Sowdambikaa CBSE School,CBSE,,,,,Thuraiyur Town Main,,,,,,,
,,,,Vageesha Vidhyalaya Matric School,Matriculation,,,,,Perambalur Road Link,,,,,,,
,,,,Kalaivani Matriculation School,Matriculation,,,,,Thuraiyur Extension,,,,,,,
,,,,Good Shepherd Nursery & Primary School,Matriculation,,,,,Bazaar Street,,,,,,,
,,,,St. Mary's Nursery and Primary School,Matriculation,,,,,Thuraiyur Interior,,,,,,,
,,,,Sri Vivekananda Primary School,Matriculation,,,,,Thuraiyur Town,,,,,,,
,,,Uppiliapuram,Sowdambikaa Matriculation School Link,Matriculation,,,,,Thuraiyur-Uppiliapuram Road,,,,,,,
,,,,Sri Vivekananda Nursery & Primary School,Matriculation,,,,,Uppiliapuram Town Main,,,,,,,
,,,,Good Shepherd Nursery & Primary School,Matriculation,,,,,Bazaar Street,,,,,,,
,,,,St. Joseph's Primary School,Matriculation,,,,,Uppiliapuram Local,,,,,,,
,,,,Green Valley Primary Feeder Camp,CBSE Link,,,,,Sobanapuram Stretches,,,,,,,
,,,,Maruthi Nursery and Primary School,Matriculation,,,,,Uppiliapuram Interior,,,,,,,
,,,Vaiyampatti,St. John's Matriculation School Link,Matriculation,,,,,Manapparai-Vaiyampatti Road,,,,,,,
,,,,Sri Renuga Matriculation School,Matriculation,,,,,Vaiyampatti Town Main,,,,,,,
,,,,Good Shepherd Nursery & Primary School,Matriculation,,,,,Bazaar Street,,,,,,,
,,,,Vivekananda Nursery and Primary School,Matriculation,,,,,Vaiyampatti Local Stretches,,,,,,,
,,,,Infant Jesus Primary Feeder School,Matriculation,,,,,Vaiyampatti Interior,,,,,,,
,,,Trichy Urban,Campuses of Kamala Niketan Montessori School,CBSE,,,,,Collector's Office Road,,,,,,,
,,,,Montfort School,CBSE,,,,,Kattur Main Road,,,,,,,
,,,,St. John's Vestry Anglo-Indian Higher Secondary School (Unaided Block),Anglo-Indian / State,,,,,Cantonment,,,,,,,
,,,,Sri Akilandeswari Vidyalaya,CBSE,,,,,Tiruvanikoil,,,,,,,
,,,,Alpha Plus Matriculation Higher Secondary School,Matriculation,,,,,K K Nagar,,,,,,,
,,,,Santhanam Vidhyalaya Senior Secondary School,CBSE,,,,,Kallikudi,,,,,,,
,,,,Vageesha Vidhyalaya Senior Secondary School,CBSE,,,,,Srirangam Link,,,,,,,
